API SuS (Note (2)J,,,". ERW, OSA",,"30,000"
APt 5LS,,,". ERW, OSA",,"35,000"
API 51 to S,X42,,". ERW, DSA",,"42,000"
API 5LS,X46,,". ERW, DSA",,"46,000"
API 5 LS,XS2,,". ERW, DSA",,"52,000"
API 5 LS,XS6,,". ERW, DSA",,"56,000"
API S LS,X60,,". ERW, DSA",,"60,000"
API SLS,X65,,". ERW, OSA",,"65,000"
API 5 LS,X70,,". ERW, DSA",,"70,000"
API s LX (Note,X42,,.,DSA,"42,000"
API SLX,X46,,". ERW, FW,s, OSA",". ERW, FW,s, OSA","46,000"
SLX,XS2,,". ERW, FW,s, DSA",". ERW, FW,s, DSA","52,000"
API 5 LX,,,". ERW,	DSA",". ERW,	DSA","56,000"
API 5LX,X60,X60,". ERW,	DSA",". ERW,	DSA","60,000"
API SLX,X65,X65,". ERW,	OSA",". ERW,	OSA","65 ,ooo"
,X70,X70,". ERW, FW,s, DSA",". ERW, FW,s, DSA","70,000"
ASTM AS3,"Open Hrth. Bas, Oxy„ Elec. Furn","Open Hrth. Bas, Oxy„ Elec. Furn",. BW,. BW,"25,000"
